Name,Latitude,Longitude,Demand Volume (estimate tons),hub_assigned,hub_lat,hub_lon,hub_total_demand
Lelylijn,52.8,5.9,7500000,4,52.9104,5.6992,18700000
Lauwersmeer-Vierhuizergat,53.4,6.22,500000,8,53.2314,6.5237,7060000
Pilot Buitendijkse Slibsedimentatie,53.33,6.93,100000,8,53.2314,6.5237,7060000
OV-verbinding Amsterdam - Haarlemmermeer,52.31,4.68,195000000,7,52.3019,4.6722,207700000
Multimodale knoop Schiphol,52.308,4.764,300000,7,52.3019,4.6722,207700000
Verbeteren vaargeul IJsselmeer (Amsterdam - Lemmer),52.75,5.4,5000000,4,52.9104,5.6992,18700000
Zeetoegang IJmond,52.46,4.6,4000000,7,52.3019,4.6722,207700000
N35 Wijthmen-Nijverdal,52.4333,6.3333,2500000,2,51.9206,6.049,17410000
Goederenroute Elst-Deventer-Twente (NaNOV),52.25,6.15,1000000,2,51.9206,6.049,17410000
PHS Ede,52.03,5.67,300000,2,51.9206,6.049,17410000
Emplacement Den Haag Centraal,52.0805,4.3268,150000,3,51.9316,4.0316,29170000
PHS Rijswijk-Rotterdam,51.9225,4.4791,2500000,7,52.3019,4.6722,207700000
Bereikbaarheid Ameland,53.4,5.85,3000000,4,52.9104,5.6992,18700000
OV-verbinding Sloterdijk - Amsterdam Centrum,52.38,4.86,31800000,1,52.367,4.9237,56800000
A1/A6/A9 Schiphol-Amsterdam-Almere,52.3,4.9,5000000,1,52.367,4.9237,56800000
Traject Oost,52.05,5.4,150000,6,51.5824,5.379,38580000
A2/N2,51.44,5.43,2500000,6,51.5824,5.379,38580000
Lob van Gennep,51.7,5.97,2500000,2,51.9206,6.049,17410000
Oeffelt,51.69,5.94,800000,2,51.9206,6.049,17410000
Maaslijn,51.55,6,800000,2,51.9206,6.049,17410000
"Maasroute, Modernisering fase 2",51.2,5.8,2000000,5,51.1448,5.8914,14500000
Grensmaas,51.05,5.75,2500000,5,51.1448,5.8914,14500000
Rijnlandroute,52.16,4.45,2500000,7,52.3019,4.6722,207700000
Besluit Beheer Haringvlietsluizen,51.8314,4.0536,20000,3,51.9316,4.0316,29170000
Zandsuppletie Galgeplaat,51.6021,3.9452,1500000,3,51.9316,4.0316,29170000
A1/A30 Barneveld,52.14,5.58,800000,2,51.9206,6.049,17410000
A28 Amersfoort-Hoogeveen,52.5167,6.0833,600000,4,52.9104,5.6992,18700000
RegioExpres,51.96,6.28,1500000,2,51.9206,6.049,17410000
PHS Nijmegen,51.84,5.85,400000,2,51.9206,6.049,17410000
Zuidelijk Maasdal,50.85,5.69,2500000,5,51.1448,5.8914,14500000
"Vaarweg Lemmer-Delfzijl, fase 2",53.2,6.3,1000000,8,53.2314,6.5237,7060000
Koehool-Lauwersmeer,53.35,5.85,400000,4,52.9104,5.6992,18700000
Verruiming Sluiscomplex Kornwerderzand,53.07,5.33,1500000,4,52.9104,5.6992,18700000
A2 Het Vonderen-Kerensheide,51.04,5.82,2500000,5,51.1448,5.8914,14500000
Calandbrug (Theemswegtracé),51.89,4.18,2500000,3,51.9316,4.0316,29170000
Noord-Hollandse Markermeerkust,52.5,5.05,1000000,1,52.367,4.9237,56800000
EuregioRail: Zwolle - Twente - Münster,52.2167,6.8833,200000,2,51.9206,6.049,17410000
"Development of the area ""Langs Eem en Spoor""",52.15,5.38,2000000,1,52.367,4.9237,56800000
"""Kop van Isselt"" and ""Ocriet eiland"" housing projects (2,600 homes)",52.15,5.38,1560000,1,52.367,4.9237,56800000
"""Nieuwe stad"" and ""Wagenwerkplaats"" housing projects (1,400 homes)",52.15,5.38,840000,1,52.367,4.9237,56800000
Rivierklimaatpark IJsselpoort,51.98,5.95,2500000,2,51.9206,6.049,17410000
Nijmegen omarmt de Waal (Waalfront),51.85,5.85,1260000,2,51.9206,6.049,17410000
Hub 's-Hertogenbosch,51.69,5.29,11380000,6,51.5824,5.379,38580000
Baarlo-Hout-Blerick,51.34,6.1,2500000,5,51.1448,5.8914,14500000
Well,51.55,6.09,2500000,2,51.9206,6.049,17410000
Meanderende Maas,51.78,5.58,2500000,6,51.5824,5.379,38580000
Inframaatregelen MerwedeLingeLijn,51.85,5,150000,6,51.5824,5.379,38580000
HOV-Net Zuid-Holland Noord,52.1601,4.497,800000,7,52.3019,4.6722,207700000
Derde perron Amsterdam Zuid,52.338,4.873,800000,1,52.367,4.9237,56800000
A27 Houten-Hooipolder,51.82,4.95,2500000,6,51.5824,5.379,38580000
PHS Meteren-Boxtel,51.7,5.3,2500000,6,51.5824,5.379,38580000
A20 Nieuwerkerk a/d IJssel-Knooppunt Gouwe,52,4.65,2500000,7,52.3019,4.6722,207700000
Ecologische Waterkwaliteit Friese IJsselmeerkust,52.98,5.44,500000,4,52.9104,5.6992,18700000
Elektrificatie Almelo-Mariënberg en Zutphen-Hengelo-Oldenzaal,52.25,6.5,50000,2,51.9206,6.049,17410000
Brainportregio Eindhoven,51.443,5.48,15400000,6,51.5824,5.379,38580000
Gebiedsontwikkeling Vierwaarden,51.4,6.17,2500000,5,51.1448,5.8914,14500000
Toekomstvast Spoor Zuidoost-NL,51.44,5.48,1500000,6,51.5824,5.379,38580000
Station Groningen Suiker,53.21,6.54,4860000,8,53.2314,6.5237,7060000
Oostvaardersoevers,52.45,5.25,2000000,1,52.367,4.9237,56800000
OV knooppunt Nijmegen Centrumzijde & Fietsenstalling,51.8425,5.8528,300000,2,51.9206,6.049,17410000
Randstadrail/Metronet,51.9225,4.4791,100000,7,52.3019,4.6722,207700000
A10 Knooppunten De Nieuwe Meer en Amstel,52.33,4.88,2500000,1,52.367,4.9237,56800000
Zuidasdok,52.33,4.87,3000000,1,52.367,4.9237,56800000
Project Mainportontwikkeling Rotterdam,51.9547,4.0202,25000000,3,51.9316,4.0316,29170000
Capaciteitsuitbreiding ligplaatsen Amsterdam - Lemmer,52.65,5.35,200000,4,52.9104,5.6992,18700000
Dijkversterking Marken,52.45,5.1,800000,1,52.367,4.9237,56800000
PHS Alkmaar-Amsterdam,52.63,4.75,2500000,1,52.367,4.9237,56800000
A7/A8 Amsterdam-Hoorn,52.508,4.965,500000,1,52.367,4.9237,56800000
PHS Amsterdam,52.37,4.9,2500000,1,52.367,4.9237,56800000
Eemszijlen/Groote Polder,53.3,6.95,600000,8,53.2314,6.5237,7060000
