Name,Latitude,Longitude,Demand Volume (estimate tons),hub_assigned,hub_lat,hub_lon,hub_total_demand
Lelylijn,52.8,5.9,7500000,6,52.9235,5.6865,18100000
Lauwersmeer-Vierhuizergat,53.4,6.22,500000,4,53.2314,6.5237,7060000
Pilot Buitendijkse Slibsedimentatie,53.33,6.93,100000,4,53.2314,6.5237,7060000
OV-verbinding Amsterdam - Haarlemmermeer,52.31,4.68,195000000,3,52.3227,4.7176,257500000
Multimodale knoop Schiphol,52.308,4.764,300000,3,52.3227,4.7176,257500000
Verbeteren vaargeul IJsselmeer (Amsterdam - Lemmer),52.75,5.4,5000000,6,52.9235,5.6865,18100000
Zeetoegang IJmond,52.46,4.6,4000000,3,52.3227,4.7176,257500000
N35 Wijthmen-Nijverdal,52.4333,6.3333,2500000,2,52.028,6.0461,14710000
Goederenroute Elst-Deventer-Twente (NaNOV),52.25,6.15,1000000,2,52.028,6.0461,14710000
PHS Ede,52.03,5.67,300000,2,52.028,6.0461,14710000
Emplacement Den Haag Centraal,52.0805,4.3268,150000,1,51.9308,4.0683,31770000
PHS Rijswijk-Rotterdam,51.9225,4.4791,2500000,1,51.9308,4.0683,31770000
Bereikbaarheid Ameland,53.4,5.85,3000000,6,52.9235,5.6865,18100000
OV-verbinding Sloterdijk - Amsterdam Centrum,52.38,4.86,31800000,3,52.3227,4.7176,257500000
A1/A6/A9 Schiphol-Amsterdam-Almere,52.3,4.9,5000000,3,52.3227,4.7176,257500000
Traject Oost,52.05,5.4,150000,5,51.6405,5.3791,42980000
A2/N2,51.44,5.43,2500000,5,51.6405,5.3791,42980000
Lob van Gennep,51.7,5.97,2500000,2,52.028,6.0461,14710000
Oeffelt,51.69,5.94,800000,2,52.028,6.0461,14710000
Maaslijn,51.55,6,800000,7,51.2199,5.9242,17800000
"Maasroute, Modernisering fase 2",51.2,5.8,2000000,7,51.2199,5.9242,17800000
Grensmaas,51.05,5.75,2500000,7,51.2199,5.9242,17800000
Rijnlandroute,52.16,4.45,2500000,3,52.3227,4.7176,257500000
Besluit Beheer Haringvlietsluizen,51.8314,4.0536,20000,1,51.9308,4.0683,31770000
Zandsuppletie Galgeplaat,51.6021,3.9452,1500000,1,51.9308,4.0683,31770000
A1/A30 Barneveld,52.14,5.58,800000,2,52.028,6.0461,14710000
A28 Amersfoort-Hoogeveen,52.5167,6.0833,600000,2,52.028,6.0461,14710000
RegioExpres,51.96,6.28,1500000,2,52.028,6.0461,14710000
PHS Nijmegen,51.84,5.85,400000,2,52.028,6.0461,14710000
Zuidelijk Maasdal,50.85,5.69,2500000,7,51.2199,5.9242,17800000
"Vaarweg Lemmer-Delfzijl, fase 2",53.2,6.3,1000000,4,53.2314,6.5237,7060000
Koehool-Lauwersmeer,53.35,5.85,400000,6,52.9235,5.6865,18100000
Verruiming Sluiscomplex Kornwerderzand,53.07,5.33,1500000,6,52.9235,5.6865,18100000
A2 Het Vonderen-Kerensheide,51.04,5.82,2500000,7,51.2199,5.9242,17800000
Calandbrug (Theemswegtracé),51.89,4.18,2500000,1,51.9308,4.0683,31770000
Noord-Hollandse Markermeerkust,52.5,5.05,1000000,3,52.3227,4.7176,257500000
EuregioRail: Zwolle - Twente - Münster,52.2167,6.8833,200000,2,52.028,6.0461,14710000
"Development of the area ""Langs Eem en Spoor""",52.15,5.38,2000000,5,51.6405,5.3791,42980000
"""Kop van Isselt"" and ""Ocriet eiland"" housing projects (2,600 homes)",52.15,5.38,1560000,5,51.6405,5.3791,42980000
"""Nieuwe stad"" and ""Wagenwerkplaats"" housing projects (1,400 homes)",52.15,5.38,840000,5,51.6405,5.3791,42980000
Rivierklimaatpark IJsselpoort,51.98,5.95,2500000,2,52.028,6.0461,14710000
Nijmegen omarmt de Waal (Waalfront),51.85,5.85,1260000,2,52.028,6.0461,14710000
Hub 's-Hertogenbosch,51.69,5.29,11380000,5,51.6405,5.3791,42980000
Baarlo-Hout-Blerick,51.34,6.1,2500000,7,51.2199,5.9242,17800000
Well,51.55,6.09,2500000,7,51.2199,5.9242,17800000
Meanderende Maas,51.78,5.58,2500000,5,51.6405,5.3791,42980000
Inframaatregelen MerwedeLingeLijn,51.85,5,150000,5,51.6405,5.3791,42980000
HOV-Net Zuid-Holland Noord,52.1601,4.497,800000,3,52.3227,4.7176,257500000
Derde perron Amsterdam Zuid,52.338,4.873,800000,3,52.3227,4.7176,257500000
A27 Houten-Hooipolder,51.82,4.95,2500000,5,51.6405,5.3791,42980000
PHS Meteren-Boxtel,51.7,5.3,2500000,5,51.6405,5.3791,42980000
A20 Nieuwerkerk a/d IJssel-Knooppunt Gouwe,52,4.65,2500000,3,52.3227,4.7176,257500000
Ecologische Waterkwaliteit Friese IJsselmeerkust,52.98,5.44,500000,6,52.9235,5.6865,18100000
Elektrificatie Almelo-Mariënberg en Zutphen-Hengelo-Oldenzaal,52.25,6.5,50000,2,52.028,6.0461,14710000
Brainportregio Eindhoven,51.443,5.48,15400000,5,51.6405,5.3791,42980000
Gebiedsontwikkeling Vierwaarden,51.4,6.17,2500000,7,51.2199,5.9242,17800000
Toekomstvast Spoor Zuidoost-NL,51.44,5.48,1500000,5,51.6405,5.3791,42980000
Station Groningen Suiker,53.21,6.54,4860000,4,53.2314,6.5237,7060000
Oostvaardersoevers,52.45,5.25,2000000,3,52.3227,4.7176,257500000
OV knooppunt Nijmegen Centrumzijde & Fietsenstalling,51.8425,5.8528,300000,2,52.028,6.0461,14710000
Randstadrail/Metronet,51.9225,4.4791,100000,1,51.9308,4.0683,31770000
A10 Knooppunten De Nieuwe Meer en Amstel,52.33,4.88,2500000,3,52.3227,4.7176,257500000
