Name,Type,Phase,Start Date,End Date,Latitude,Longitude,Demand Volume (estimate tons),hub_id,hub_name,waterway,cemt_class,hub_lat,hub_lon,snap_dist_km,snap_method,total_demand_tons
Lelylijn,Rail,Research,2023,2026,52.8,5.9,7500000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Lauwersmeer-Vierhuizergat,Waterway,Construction,2023,2026,53.4,6.22,500000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Pilot Buitendijkse Slibsedimentatie,Waterway,Construction,2025,2026,53.33,6.93,100000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
OV-verbinding Amsterdam - Haarlemmermeer,Rail,Exploration,2026,2050,52.31,4.68,195000000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Multimodale knoop Schiphol,Rail,Construction,2016,2035,52.308,4.764,300000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Verbeteren vaargeul IJsselmeer (Amsterdam - Lemmer),Waterway,Construction,2020,2026,52.75,5.4,5000000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Zeetoegang IJmond,Waterway,Construction,2016,2026,52.46,4.6,4000000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
N35 Wijthmen-Nijverdal,Road,Exploration,2022,2026,52.4333,6.3333,2500000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Goederenroute Elst-Deventer-Twente (NaNOV),Rail,Construction,2009,2026,52.25,6.15,1000000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
PHS Ede,Rail,Construction,2017,2026,52.03,5.67,300000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Emplacement Den Haag Centraal,Rail,Construction,2020,2026,52.0805,4.3268,150000,4,Port of Rotterdam (Maasvlakte),Nieuwe Waterweg,VI,51.95,4.02,3.9,port,31770000
PHS Rijswijk-Rotterdam,Rail,Construction,2018,2026,51.9225,4.4791,2500000,4,Port of Rotterdam (Maasvlakte),Nieuwe Waterweg,VI,51.95,4.02,3.9,port,31770000
Bereikbaarheid Ameland,Waterway,Exploration,2024,2027,53.4,5.85,3000000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
OV-verbinding Sloterdijk - Amsterdam Centrum,Rail,Exploration,2023,2027,52.38,4.86,31800000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
A1/A6/A9 Schiphol-Amsterdam-Almere,Road,Construction,2012,2027,52.3,4.9,5000000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Traject Oost,Rail,Construction,2002,2027,52.05,5.4,150000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
A2/N2,Road,Exploration,2025,2027,51.44,5.43,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Lob van Gennep,Waterway,Planning,2019,2027,51.7,5.97,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Oeffelt,Waterway,Planning,2021,2027,51.69,5.94,800000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Maaslijn,Rail,Construction,2021,2027,51.55,6,800000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
"Maasroute, Modernisering fase 2",Waterway,Construction,2015,2027,51.2,5.8,2000000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Grensmaas,Waterway,Construction,2008,2027,51.05,5.75,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Rijnlandroute,Road,Construction,2017,2027,52.16,4.45,2500000,2,Port of Amsterdam (Westpoort),Noordzeekanaal,Va,52.39,4.84,11.5,port,260150000
Besluit Beheer Haringvlietsluizen,Other,Construction,2018,2027,51.8314,4.0536,20000,4,Port of Rotterdam (Maasvlakte),Nieuwe Waterweg,VI,51.95,4.02,3.9,port,31770000
Zandsuppletie Galgeplaat,Waterway,Construction,2022,2027,51.6021,3.9452,1500000,4,Port of Rotterdam (Maasvlakte),Nieuwe Waterweg,VI,51.95,4.02,3.9,port,31770000
A1/A30 Barneveld,Road,Planning,2027,2028,52.14,5.58,800000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
A28 Amersfoort-Hoogeveen,Road,Planning,2026,2028,52.5167,6.0833,600000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
RegioExpres,Rail,Planning,2023,2028,51.96,6.28,1500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
PHS Nijmegen,Rail,Construction,2024,2028,51.84,5.85,400000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Zuidelijk Maasdal,Waterway,Exploration,2023,2028,50.85,5.69,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
"Vaarweg Lemmer-Delfzijl, fase 2",Waterway,Planning,2019,2029,53.2,6.3,1000000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Koehool-Lauwersmeer,Waterway,Planning,2020,2029,53.35,5.85,400000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
Verruiming Sluiscomplex Kornwerderzand,Waterway,Construction,2020,2029,53.07,5.33,1500000,3,Lemmer (Friesland),IJsselmeer/Prinses Margrietkanaal,IV,52.85,5.71,19.3,port,29510000
A2 Het Vonderen-Kerensheide,Road,Construction,2022,2029,51.04,5.82,2500000,1,Eindhoven (Zuid-Willemsvaart),Zuid-Willemsvaart,IV,51.44,5.47,17,port,68490000
Calandbrug (Theemswegtracé),Rail,Construction,2018,2029,51.89,4.18,2500000,4,Port of Rotterdam (Maasvlakte),Nieuwe Waterweg,VI,51.95,4.02,3.9,port,31770000
